cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
60601,Entre Ríos,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""APG-IG"",""v"":1},{""s"":""ARO"",""v"":2}]",,
70101,Santa Cruz de la Sierra,5,2,3,"[{""s"":""MAS-IPSP-ASIP"",""v"":4},{""s"":""SPT"",""v"":7}]",,
70102,Cotoca,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""SOL"",""v"":1},{""s"":""TILUCHI"",""v"":1},{""s"":""VERDES"",""v"":3}]",,
70103,Porongo (Ayacucho),5,3,2,"[{""s"":""MAS-IPSP"",""v"":1},{""s"":""NEGRO"",""v"":2},{""s"":""PODER"",""v"":1},{""s"":""VERDES"",""v"":1}]",,
70104,La Guardia,5,4,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""VOCES"",""v"":4}]",,
70105,El Torno,5,4,1,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""VERDAD"",""v"":1},{""s"":""VOCES"",""v"":2}]",,
70201,Warnes,7,3,4,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""PP"",""v"":3},{""s"":""PRO-WAR"",""v"":1},{""s"":""W.L."",""v"":1}]",,
70202,Okinawa,7,5,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""CAMPO"",""v"":1},{""s"":""VERDES"",""v"":2}]",,
70301,San Ignacio,5,1,4,"[{""s"":""ACHA"",""v"":2},{""s"":""FA"",""v"":5}]",,
70302,San Miguel,5,3,2,"[{""s"":""LIDER"",""v"":3},{""s"":""TODOS"",""v"":2}]",,
70303,San Rafael,5,3,2,"[{""s"":""ACHA"",""v"":1},{""s"":""OICH"",""v"":2},{""s"":""VERDES"",""v"":2}]",,
